[owen@kaser dubuc]$ ./papibenchmark 
 Benchmarking tool for the Ola algorithm 
 Build: Jul  5 2004 11:00:47
 Benchmarks can take a long time to compute 
 Values are always given as pairs init time + total operation time 
Starting benchmarking from hellifax 
testing dependence of Ola time on range length (multi-level)
 size = 1073741825 b=128,beta=4
 external array is : 4 GB
 bin arrays are : 0.5 KB
N (aka M and M' in paper) is 2
 query time (sums) / buffer construction 
 == Fast Range Sums === virtual array of size 1073741825 N = 2 b = 128
 b = 128 N = 2
 data.size() = 1073741825
 It took 2723.6 s to build a buffer of size 8388609
 rangelen  time 
48244017 321024
348323305 322280
116922022 314844
300572236 321412
37145403 314480
4204103 268504
155381018 320132
439357672 326548
315428080 327252
635884523 330156
439284148 326736
323725930 329244
426539842 322664
753620944 336176
448371272 329504
10020744 294688
584290981 328120
274067448 321412
849338520 337216
99473089 315872
189193025 321884
585429976 328924
702072614 330140
8883165 291472
537376259 329260
482710421 329668
106076371 322068
122593185 320072
742744244 335756
46647956 314756
126066981 319704
459752845 329364
374929773 323504
85695177 315224
234718152 321296
111022241 321820
109046900 320564
768485220 335912
453261788 322640
94071577 315260
114834368 320128
12966948 315132
121333370 321956
99552733 314704
61967563 322760
738784565 331044
16277566 296440
679617244 329100
454788573 329720
509178675 323460
466041846 328708
39676076 315112
201177659 322308
123721164 320988
494021526 327980
570324977 328904
170846104 322128
243975193 321276
354889767 322968
329231401 322176
396432703 329520
352757913 322340
800435964 335400
54058062 315292
152960429 316324
870989437 336740
220464780 322340
97744603 316000
428656841 321488
2340061 288596
634483318 329816
674220579 334040
82215138 314092
23767070 294448
86717460 321784
384209866 321512
299738472 322468
351316313 323920
358311284 327200
391561622 326860
752378863 336136
413651419 321820
316351504 328860
110271643 293740
94441050 294440
1026801174 338496
464733457 328384
613229861 335472
16216513 313552
799467858 335432
894927121 336392
239214297 322248
383806038 327472
379773723 322504
409360267 322400
179856102 320168
467639917 322072
453830439 322136
549702134 329480
402055742 323808
235627213 321232
299325725 319840
178283533 321064
173567440 321744
170374900 315888
232567968 316360
32583415 293080
228265835 295168
105455686 316256
697024449 328368
477490165 327712
470928568 323464
430656592 327392
299600651 322448
194575976 322368
550760084 330000
76910963 320784
56822035 321600
536181674 327824
263439591 322496
395510943 321192
17995649 316576
584380597 330680
714150150 329752
255432080 322384
35891043 314536
213986977 321816
330969335 327488
286054707 321032
551260470 329816
403454113 329008
162907952 317536
878364538 336432
645826104 328936
124303559 315368
26380865 315648
113621046 321800
439606914 323248
165893673 322728
124057364 316088
291668939 320536
251281175 316392
798652707 336248
76557658 315552
613619190 329240
31967316 309760
656096857 335840
803867196 337432
300961184 322400
272217869 321848
315403838 327160
447865010 322088
342975248 322856
1032007157 337152
790940492 335768
807121842 334880
242271103 321144
